Structure,Role,Band,FreqStart_GHz,FreqStop_GHz,MeanReciprocityMismatch,MaxReciprocityMismatch,MedianInsertionLoss_dB,MaxInsertionLoss_dB,MedianWorstPortReturnLoss_dB,MinWorstPortReturnLoss_dB,PhaseRippleRMS_deg,LandingRepeatability
P1P2 Straight,Straight benchmark,0-67,0.01,67,0.00084258094713052,0.023972022301471,0.125332563860121,0.268826880505125,29.12019762938,22.8802281548563,0.128325950670361,N/A (single landing only)
P1P2 Straight,Straight benchmark,67-115,67,115,0.00269205553972185,0.0101197325534451,0.46786101966744,0.50088121560995,23.5024379599885,21.4703083105511,0.0626785145456413,N/A (single landing only)
P1P2 Straight,Straight benchmark,110-170,110,170,0.00627824568733004,0.0174396414745541,0.563644677406187,1.20489195517025,26.1580562972283,15.8320411694319,0.251220229630478,N/A (single landing only)
P1P2 Straight,Straight benchmark,Full-span,0.01,170,0.00326025511850725,0.023972022301471,0.457550946675668,1.20489195517025,26.5214755553479,15.8320411694319,0.508787483635607,N/A (single landing only)
P3P4 Straight,Straight cross-check,0-67,0.01,67,0.00108549860654618,0.0240267592818091,0.347436925247414,0.50689091313403,24.050746108518,17.8235469356032,0.37322621284404,N/A (single landing only)
P3P4 Straight,Straight cross-check,67-115,67,115,0.00732326645385244,0.0164193588021936,0.713144185616266,0.842620178525715,20.4194864008206,17.6554988857099,0.0835658274218937,N/A (single landing only)
P3P4 Straight,Straight cross-check,110-170,110,170,0.0185705324358799,0.0438088425726725,0.148931938226875,0.754069773814021,23.224121960823,16.5094378750811,0.50132606342429,N/A (single landing only)
P3P4 Straight,Straight cross-check,Full-span,0.01,170,0.00893339705439872,0.0438088425726725,0.384398899571614,0.842620178525715,22.8049306283957,16.5094378750811,1.16845258043498,N/A (single landing only)
P1P4 Arc,Orthogonal candidate,0-67,0.01,67,0.00115857646756348,0.0228132688016564,0.623794156137564,0.725582100800906,20.4923207033812,15.7096875626974,0.171582058365872,N/A (single landing only)
P1P4 Arc,Orthogonal candidate,67-115,67,115,1.09204078039777,1.46477949605966,0.697866490138497,0.780167543282243,13.5115838450873,12.6661112566076,0.197983381010824,N/A (single landing only)
P1P4 Arc,Orthogonal candidate,110-170,110,170,0.119829658495121,0.360085998510001,0.331362599866631,0.889417214779855,9.54404328666661,4.25249836760598,1.26960513941252,N/A (single landing only)
P1P4 Arc,Orthogonal candidate,Full-span,0.01,170,0.312118126626336,1.46477949605966,0.590679166507114,0.889417214779855,13.6179879147258,4.25249836760598,1.46727099091241,N/A (single landing only)
P1P4 Diagonal,Orthogonal candidate,0-67,0.01,67,0.000999766728943264,0.0237095170594123,0.456433940855981,0.630726310205587,22.8363345640608,17.7351042262789,0.156045087906935,N/A (single landing only)
P1P4 Diagonal,Orthogonal candidate,67-115,67,115,1.0993365544527,1.46072461022588,0.61003808468511,0.704541683802512,18.3184519344342,14.7345539947957,0.270693294905134,N/A (single landing only)
P1P4 Diagonal,Orthogonal candidate,110-170,110,170,0.13666962069515,0.406273725638996,0.681640506663372,1.01310161797417,9.47997993656289,5.69181055161571,1.34299831085108,N/A (single landing only)
P1P4 Diagonal,Orthogonal candidate,Full-span,0.01,170,0.319930648068441,1.46072461022588,0.599460044054659,1.01310161797417,18.6962287749524,5.69181055161571,4.97054751944114,N/A (single landing only)
